,XNM,XQM,XHH,CNT
263,2012,3,04,5822
264,2012,3,05,8953
265,2012,3,06,9475
266,2012,3,07,11682
267,2012,3,08,7726
268,2012,3,09,10500
269,2012,3,15,10305
270,2012,3,16,13468
271,2012,3,17,8065
272,2012,3,18,16
273,2012,3,PT,246
274,2012,3,Y0,24817
275,2012,3,Y1,14515
276,2012,3,YZ,5112
277,2013,12,01,9045
278,2013,12,02,12557
279,2013,12,03,9470
280,2013,12,04,6806
281,2013,12,05,11240
282,2013,12,06,11632
283,2013,12,07,12214
284,2013,12,08,8665
285,2013,12,09,13181
286,2013,12,15,11915
287,2013,12,16,13324
288,2013,12,17,8091
289,2013,12,18,9
290,2013,12,PT,173
291,2013,12,Y0,20117
292,2013,12,Y1,12384
293,2013,12,YZ,852
294,2013,12,ZB,5086
295,2013,3,01,7678
296,2013,3,02,10638
297,2013,3,03,8061
298,2013,3,04,6001
299,2013,3,05,9440
300,2013,3,06,10176
301,2013,3,07,12081
302,2013,3,08,7760
303,2013,3,09,10879
304,2013,3,15,10642
305,2013,3,16,12205
306,2013,3,17,8120
307,2013,3,18,4
308,2013,3,PT,261
309,2013,3,Y0,19395
310,2013,3,Y1,11096
311,2013,3,YZ,2827
312,2013,3,ZB,4774
313,2014,12,01,9388
314,2014,12,02,15306
315,2014,12,03,11229
316,2014,12,04,7482
317,2014,12,05,10341
318,2014,12,06,10800
319,2014,12,07,13185
320,2014,12,08,8101
321,2014,12,09,12479
322,2014,12,15,11192
323,2014,12,16,12936
324,2014,12,17,7765
325,2014,12,PT,8
326,2014,12,Y0,11396
327,2014,12,Y1,7091
328,2014,12,YZ,3
329,2014,12,Z0,5103
330,2014,12,Z1,1597
331,2014,12,ZB,4904
332,2014,3,01,7918
333,2014,3,02,13585
334,2014,3,03,9635

335,2014,3,04,6709
336,2014,3,05,9237
337,2014,3,06,10869
338,2014,3,07,12890
339,2014,3,08,8136
340,2014,3,09,11120
341,2014,3,15,11363
342,2014,3,16,11928
343,2014,3,17,7298
344,2014,3,PT,59
345,2014,3,Y0,11645
346,2014,3,Y1,6040
347,2014,3,YZ,10
348,2014,3,Z0,3587
349,2014,3,Z1,1438
350,2014,3,ZB,7141
351,2015,12,01,8232
352,2015,12,02,17630
353,2015,12,03,12767
354,2015,12,04,7978
355,2015,12,05,9461
356,2015,12,06,10541
357,2015,12,07,13786
358,2015,12,08,10096
359,2015,12,09,10813
360,2015,12,15,11761
361,2015,12,16,11688
